Link to article	Type of article	Type of Event	Key persons/organizations mentioned	Key places mentioned in the document
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6f44ab230d8759e6fe1b58	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c745038230d8759e60b59db	Political	Verbal Conflict	Corte IDH/la Corte Interamericana de Derechos Humanos, Humberto Sierra Porto (presidente de la Corte Interamericana de Derechos Humanos), el Estado/el Gobierno, las Farc, el presidente Juan Manuel Santos, el expresidente César Gaviria, el contralor Edgardo Maya, el vicefiscal Jorge Perdomo, el procurador Alejandro Ordóñez, el defensor Jorge Otálora, el alto comisionado para la paz Sergio Jaramillo	Cartagena, Colombia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e923e230d8759e6fc4504	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c798370230d8759e6187c83	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fbe0c230d8759e628388e	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7909d5230d8759e61749c7	Political	Verbal Cooperation	La petrolera estatal Petrobras, el diario financiero "Valor", Francisco Gross, la Organización de Países Exportadores de Petróleo (OPEP), la argentina Petrolera Santa Fe	Venezuela, RIO DE JANEIRO, Brasil,  Suramérica, Latinoamérica, Argentina, Bolivia, Colombia, el Golfo de México
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f1b0c230d8759e626ac6d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b0346230d8759e61c5aaa	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c714c26230d8759e6036967	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b822d230d8759e61da100	Political	Verbal Cooperation	Sistema Nacional Integrado de Transporte, Andrés Uriel Gallego (El Ministro de Transporte), el Gobierno Nacional, Presidente Álvaro Uribe, los Ministerios de Planeación y Hacienda, Samuel Moreno (el Alcalde de Bogotá), la Comisión Sexta del Senado	Bogotá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b78f3230d8759e61d897d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c79986e230d8759e618b2a1	Political	Material Conflict	Dotcom, Kim Dotcom (empresario informático alemán), Un tribunal de Nueva Zelanda, "Megaupload", la Policía, los servicios de inteligencia, el FBI, los servicios secretos, la oficina del Primer Ministro, Radio New Zeland, David Fisher	Nueva Zelanda, Auckland, Estados Unidos, Europa
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d80b4230d8759e622adaf	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c766533230d8759e610ad16	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7544c2230d8759e60dcf4b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70bcf4230d8759e601f2f8	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c73c845230d8759e609f095	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c2ac3230d8759e61f5c65	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c778c86230d8759e61397cd	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c753d33230d8759e60dbbc6	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c73873f230d8759e6094770	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c714865230d8759e6035f3f	Political	Verbal Cooperation	El ministro de Defensa, las Farc, El Gobierno nacional, los secuestrados en poder de las Farc, Juan Manuel Santos (el ministro de Defensa), El Funcionario, Caracol Radio, Emmanuel, Clara Rojas, Consuelo González	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6fe00a230d8759e6ffaee1	Political	Material Conflict/Material Cooperation	El Gobierno haitiano, Michel Chancy (el coordinador nacional alimentario/secretario de Estado de Agricultura), el primer ministro Jean Max Bellerive, la Misión de la ONU para la Estabilización en Haití (MINUSTAH), Ejecutivo, las principales agencias humanitarias de la ONU, algunos países donantes, la Protección Civil dominicana, Estados Unidos, Canadá, Efe, los principales ministerios, las agencias de la ONU	Haití, aeropuerto de Puerto Príncipe, la región de Puerto Príncipe, una oficina del Poder Judicial\
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c733fb0230d8759e6088241	Political	Material Conflict	Suníes, La policía iraquí, Ministerio del Interior, Al Arabiya, periodistas, egipcios, saudíes, el Gobierno iraquí/El Gobierno de Irak, los chiíes, Mahmud Ahmadineyad (El presidente iraní), sionistas, las naciones musulmanas, el kurdo Yalal Talabani, los ulemas (doctores) de todas las confesiones, El principal partido político suní, kurdos, el Ejecutivo actual, Rashid al Azawi (portavoz del Frente del Acuerdo Iraquí)	Bagdad, Basora (sur de Irak), la ciudad de Samarra (al norte de la capital iraquí), templo de Alí Al-Hadi, el área de Abu Deshier,  a ciudad de Al Nahrauan, la Mezquita Dorada, Kirkuk, Irak, EE UU, Israel, las mezquitas suníes, Baquba
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c71d207230d8759e604ba18	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c764033230d8759e61050a0	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f77a8230d8759e6278f50	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d574c230d8759e6224635	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c8326230d8759e6203ac6	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c760cab230d8759e60fc9be	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6eb5d5230d8759e6fca584	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fbdd2230d8759e628380f	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70fa6c230d8759e6029397	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ebeae230d8759e625c481	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c585a230d8759e61fd0f0	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fc8ba230d8759e62853c1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c78122d230d8759e614e082	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c147a230d8759e61f241b	Political	Verbal Cooperation/Material Cooperation	Mincomercio, TLC, Sergio Díaz-Granados (El ministro de Comercio, Industria y Turismo), el Tratado de Libre Comercio, el Ministerio de comercio, el Gobierno, las ventas externas de sectores con valor agregado, el titular de la cartera de Comercio	Canadá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c726569230d8759e606420d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c744eab230d8759e60b55d8	Political	Material Conflict/Material Cooperation	Las últimas cifras oficiales, nepalíes, Centro Nacional de Operación de Emergencia, Efe, los medios locales, El Servicio Geológico de Estados Unidos (USGS), Miembros del Ejército indio, Suresh Acharya (El secretario adjunto de Turismo), Estados Unidos, China, la Unión Europea, Rusia, Pakistán, la India	Nepal, Katmandú (la capital nepalí), valle central de Nepal, la India, China, Bangladesh, aeropuerto de Katmandú, el Everest, Himalaya
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c748108230d8759e60bd71e	Political	Verbal Conflict	Marine Le Pen (La candidata ultraderechista a la Presidencia de Francia), Emmanuel Macron (el socioliberal), franceses	Francia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f0861230d8759e6267ce1	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74afd7230d8759e60c4e9b	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c77df1f230d8759e6146328	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e8226230d8759e6fc1a3a	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c733e7e230d8759e6087f30	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72522f230d8759e60610d8	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c76b40a230d8759e6117735	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c739991230d8759e609775b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c77f2ba230d8759e614930b	Political	Verbal Cooperation	Medellín Sergio Fajardo, plebiscito, los colombianos	el auditorio principal de la UTP
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f6e64230d8759e62778a4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7bb71a230d8759e61e26ac	Political	Verbal Cooperation	La Agencia Europea para la Gestión de las Fronteras Exteriores (Frontex), inmigrantes, la plataforma de asociaciones internacionales "Frontexit", Anna Sibley, Caroline Intrand, la Declaración Universal de Derechos del Hombre, la Convención de Ginebra sobre el Estatuto de los Refugiados, el Defensor del Pueblo europeo, los países terceros	Bruselas, las fronteras europeas
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c715ab0230d8759e6038fe0	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e5319230d8759e6fb9e5b	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70dc27230d8759e602454a	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c709c2b230d8759e6019d1b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fda51230d8759e6288074	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c8009db230d8759e628f73f	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72beb7230d8759e6072c76	Political	Verbal Conflict/Material Conflict	Caracol Radio, Carlos Portilla (el presidente de la Cámara de Comercio de Ipiales), los braseros o cargueros, la Cámara Binacional del Comercio, los gobiernos de Colombia y Ecuador	la zona fronteriza, Colombia, Ecuador
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75a346230d8759e60ec1aa	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c778ba3230d8759e6139598	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c759a65230d8759e60eabb4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6fd125230d8759e6ff8838	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c6469230d8759e61fee55	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b19e8230d8759e61c93c0	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c792c5b230d8759e617a148	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c76de31230d8759e611de48	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e08df230d8759e62403c8	Political	Verbal Cooperation	Fundación Alas, Juan Antonio Pungiluppi (el director ejecutivo de la entidad), Shakira, Centros de Orientación Infantil y Familiar (COIF), el MIDES, Gobierno de Panamá, el Ministerio de Desarrollo Social	Panamá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72b719230d8759e6071859	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c757b9c230d8759e60e5add	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f507c230d8759e6272ff1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7cecac230d8759e6213dda	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7bfc0f230d8759e61ee546	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7575a7230d8759e60e4b7b	Political	Material Cooperation	Jaled Muyahed (Ministerio de Sanidad egipcio), la televisión estatal egipcia, La minoría cristiana copta, Efe, fuentes de seguridad y de Protección Civil, papa Francisco	El Cairo, una iglesia en la ciudad egipcia de Tanta, Egipto, la iglesia de "Mar Guergues", Oriente Medio, el barrio de Al Abasiya
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c747233230d8759e60bb0a3	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ce974230d8759e6213618	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d4ee5230d8759e62231d4	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c795ea9230d8759e6181edc	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74e38e230d8759e60cd74f	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75d018230d8759e60f30d0	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c792d06230d8759e617a2d7	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6ea736230d8759e6fc7d04	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b64d7230d8759e61d55c1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6ecf69230d8759e6fce998	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c710f64230d8759e602c9f1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c792c19230d8759e617a0a3	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74916a230d8759e60c005a	Political	Material Conflict	Los grupos al margen de la ley, la guerrilla del Ejército de Liberación Nacional (ELN), la Empresa Oxígenos del Llano, disidentes de las Farc	la estación de policía de Fortul, Arauca, municipio de Fortul, esta localidad araucana, la frontera con Venezuela, el municipio de Arauquita, el centro poblado de La Esmeralda
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6fc4b1230d8759e6ff6816	Political	Material Conflict/Verbal Conflict	La Federación Colombiana de Periodista (Fecolper), periodistas/los periodistas regionales, Mario Esteban López, la Policía, Héctor Rodríguez, La Veterana FM, Adriana Hurtado (presidenta de la Federación Colombiana de Periodistas)	Colombia, Ipiales, Popayán, Cauca
